GOOGLE.COM

                         MX     aspmx.l.google.com
ld77v7.feedproxy.ghs     A      216.58.194.179
lh3-da.photos0.sandbox   A      74.125.20.81
lh3.l                    AAAA   2607:f8b0:4006:804::200e
ln4q39.feedproxy.ghs     AAAA   2607:f8b0:4006:818::2013
logging.clients6         A      172.217.11.42
lyiff9.feedproxy.ghs     A      172.217.3.115
mail-io1-f66             A      209.85.166.66
mail-pl1-f200            A      209.85.214.200
mail-qt1-f170            A      209.85.160.170
material                 AAAA   2607:f8b0:4005:805::200e
meetings.clients6        A      172.217.7.10
mobile-gtalk.l           AAAA   2607:f8b0:400e:c05::bc
mobilecrashreporting.clients6  A      216.58.194.202
mr4crl.feedproxy.ghs     A      216.58.194.179
mts.l                    A      172.217.5.110
mts.l                    AAAA   2607:f8b0:4005:808::200e
mts.l                    AAAA   2607:f8b0:4005:80a::200e
mxkqh8.feedproxy.ghs     AAAA   2607:f8b0:4006:811::2013
n3kvre.feedproxy.ghs     A      172.217.6.147
n4mfg0.feedproxy.ghs     A      216.58.195.83
n4mfg0.feedproxy.ghs     AAAA   2607:f8b0:4006:815::2013
nestapi                  A      172.217.6.78
netease                  A      216.58.194.164
news                     A      172.217.11.14
news-cctld.l             AAAA   2607:f8b0:4006:819::2003
npf-baas.l               AAAA   2607:f8b0:4006:818::2011
npf-baas.l               AAAA   2607:f8b0:4006:815::2011
null.feedproxy.ghs       A      172.217.11.83
null.feedproxy.ghs       A      172.217.10.19
null.feedproxy.ghs       AAAA   2607:f8b0:4006:802::2013
o-o.preferred.ams04s07.v21.nonxt2.c.android.clients  AAAA   2607:f8b0:4006:811::200e
o755sd.feedproxy.ghs     AAAA   2607:f8b0:4006:811::2013
offers                   AAAA   2607:f8b0:4005:802::200e
oi4krg.feedproxy.ghs     A      142.250.64.83
pagead-googlehosted.l    A      172.217.6.65
paohzb.feedproxy.ghs     A      172.217.5.115
paohzb.feedproxy.ghs     AAAA   2607:f8b0:4005:808::2013
partner-client           A      172.217.6.68
partner-client           AAAA   2607:f8b0:4005:809::2004
payments                 AAAA   2607:f8b0:4023:c03::5c
photos                   A      172.217.0.46
photos                   A      216.58.194.206
plus                     AAAA   2607:f8b0:4006:810::200e
pmx3zp.feedproxy.ghs     AAAA   2607:f8b0:4006:819::2013
profiles                 A      172.217.164.110
pub-0015619913210312.afd.ghs  A      74.125.195.121
pub-0015619913210312.afd.ghs  AAAA   2607:f8b0:400e:c08::79
pub-0024012935741096.afd.ghs  A      172.217.10.83
pub-0026477964853336.afd.ghs  A      172.217.5.115
pub-0068203427671884.afd.ghs  AAAA   2607:f8b0:4005:80b::2013
